source,month,0,1,2
bbc,2022-02,94.23310717038159,3.1684981684981683,9.113007825913884
bbc,2022-03,95.93495865249575,5.050590352376848,4.756197719645386
bbc,2022-04,95.84142088486139,3.608463000511574,7.59546563017492
bbc,2022-05,97.5517884456131,8.25531914893617,7.422989986015196
bbc,2022-06,93.0535383361521,15.306001897480593,11.65578385305532
bbc,2022-07,93.83601445397785,15.048447653839485,23.565323565323563
bbc,2022-08,95.1359741619698,25.21541399842714,8.235910328933585
bbc,2022-09,94.30234838369708,13.611779216774591,16.640347374569927
bbc,2022-10,94.1913849707884,11.76476285705698,12.164276529246399
bbc,2022-11,99.68205128205129,4.0,2.769230769230769
bbc,2022-12,96.27821624427217,19.05298417429565,5.4628639334521685
bbc,2023-01,94.49269708571111,0.0,23.60272677552378
bbc,2023-02,96.60872790674712,0.0,15.825936435180132
bbc,2023-03,96.1867913989034,0.0,19.701577772332488
bbc,2023-04,98.95238095238095,0.0,15.714285714285714
bbc,2023-05,94.98202017623856,7.350088183421517,19.072444283762852
bbc,2023-06,99.22628726287263,0.0,7.737127371273712
bbc,2023-07,99.19354838709677,12.5,12.5
bbc,2023-08,95.41068127275024,10.0,24.618048618048615
bbc,2023-09,99.13752913752914,0.0,12.937062937062938
bbc,2023-10,96.84126984126985,27.38095238095238,13.333333333333334
bbc,2023-11,99.2063492063492,0.0,11.904761904761905
bbc,2023-12,99.65348208248817,0.0,36.68300653594771
bbc,2024-01,98.31604874254602,0.0,16.278195488721803
bbc,2024-02,94.97549019607843,12.499999999999998,24.142156862745097
bbc,2024-03,93.21463482753806,0.0,30.04947433518862
bbc,2024-04,95.73398279280632,0.0,25.596103243162066
bbc,2024-05,99.16666666666667,0.0,20.0
bbc,2024-06,100.0,0.0,0.0
bbc,2024-09,100.0,0.0,0.0
bbc,2024-10,100.0,0.0,0.0
cnn,2022-02,68.62053993004767,7.778995680031808,26.193462949931128
cnn,2022-03,86.81556838207823,5.475385872806741,11.072800213471275
cnn,2022-04,89.4097556073553,5.574910786112861,11.907191996282377
cnn,2022-05,90.14038054954655,12.417330477251218,16.469441094199663
cnn,2022-06,87.44284714847396,10.811048594617446,18.139137299302593
cnn,2022-07,92.70809234015772,14.24807587122988,14.056068222773144
cnn,2022-08,93.26929707728286,11.232661232661233,15.248848444092499
cnn,2022-09,88.29335630131045,13.500754036750873,16.212885244445303
cnn,2022-10,88.54017597748084,16.408668730650152,21.49581381578623
cnn,2022-11,91.05348080220924,15.986394557823129,18.186368216775115
cnn,2022-12,92.59455190640989,13.664438321444184,12.403592253390181
cnn,2023-01,92.3751797407982,0.0,15.757961869017032
cnn,2023-02,93.20787807707923,15.68627450980392,16.770101740905687
cnn,2023-03,88.71894816120917,9.61385493706196,14.148053966103078
cnn,2023-04,93.64102152937924,70.6896551724138,20.43300932902491
cnn,2023-05,89.39063150485069,18.998397435897434,15.806052100377428
cnn,2023-06,92.49677046921128,20.833333333333336,19.676032305953925
cnn,2023-07,86.93450786573682,0.0,28.930732583011345
cnn,2023-08,95.91246858355903,8.88888888888889,11.782458502078134
cnn,2023-09,95.98547751154608,9.040247678018575,12.794397412197547
cnn,2023-10,98.02826510721248,0.0,12.323343079922026
cnn,2023-11,94.44444444444444,33.33333333333333,0.0
cnn,2023-12,100.0,0.0,0.0
cnn,2024-01,100.0,0.0,0.0
cnn,2024-02,100.0,0.0,0.0
cnn,2024-03,100.0,0.0,100.0
cnn,2024-04,92.85714285714286,0.0,50.0
cnn,2024-05,90.0,0.0,62.5
cnn,2024-06,100.0,0.0,0.0
cnn,2024-07,100.0,0.0,0.0
cnn,2024-08,93.58989037410196,0.0,14.956922460428771
cnn,2024-09,82.63242347212075,0.0,31.478732456781113
cnn,2024-10,89.82824198861934,0.0,30.51527403414196
cnn,2024-11,87.44227097953807,0.0,25.11545804092388
guardian,2022-02,54.80366315428097,3.695344370957803,41.911586293756535
guardian,2022-03,76.12550849413118,2.911494737686805,21.432592693615373
guardian,2022-04,80.74694798430771,2.8406482651474385,18.21148098513823
guardian,2022-05,83.50281212448594,4.548818214210596,15.323299304104875
guardian,2022-06,81.57102271474977,4.224175202526576,16.739307204239584
guardian,2022-07,84.59413203830788,4.769211295145634,13.216843826499336
guardian,2022-08,83.33332973945218,8.799533161493697,14.681156433537774
guardian,2022-09,78.00555403640827,6.119195127821504,18.934848399680984
guardian,2022-10,83.48073778602443,7.742522137183618,16.353552631177035
guardian,2022-11,82.15198301865469,4.334236904414743,15.96984765609892
guardian,2022-12,75.58262303728277,3.990311736166583,23.369144051263387
guardian,2023-01,82.20843659760634,4.727770241253786,18.203434974756355
guardian,2023-02,79.8050007847291,4.470907211956721,20.115016369177837
guardian,2023-03,82.84322144014033,3.1941649899396376,17.51572684585903
guardian,2023-04,83.85084724721062,3.3356236040034077,16.826146005988132
guardian,2023-05,81.42456578821313,4.4326873458483425,18.160321638148478
guardian,2023-06,85.38604014903497,5.626617372221834,16.18636365182479
